location,date,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,stringency_index,hospital_beds_per_thousand,testing_policy,contact_tracing,facial_coverings,restrictions_internal_movements,international_travel_controls,cancel_public_events,restriction_gatherings,school_closures,workplace_closures,stay_home_requirements
Singapore,2020-01-23,0.177,0.177,0.0,0.0,25.0,2.4,2,2,0,0,3,0,2,0,0,0
Singapore,2020-01-24,0.532,0.355,0.0,0.0,25.0,2.4,2,2,0,0,3,0,2,0,0,0
Singapore,2020-01-25,0.532,0.0,0.0,0.0,25.0,2.4,2,2,0,0,3,0,2,0,0,0
Singapore,2020-01-26,0.71,0.177,0.0,0.0,25.0,2.4,2,2,0,0,3,0,2,0,0,0
Singapore,2020-01-27,0.887,0.177,0.0,0.0,25.0,2.4,2,2,0,0,3,0,2,0,0,0
Singapore,2020-01-28,1.242,0.355,0.0,0.0,25.0,2.4,2,2,0,0,3,0,2,0,0,0
Singapore,2020-01-29,1.242,0.0,0.0,0.0,25.0,2.4,2,2,0,0,3,0,2,0,0,0
Singapore,2020-01-30,1.774,0.532,0.0,0.0,25.0,2.4,2,2,0,0,3,0,2,0,0,0
Singapore,2020-01-31,2.306,0.532,0.0,0.0,25.0,2.4,2,2,0,0,3,0,2,0,0,0
Singapore,2020-02-01,2.838,0.532,0.0,0.0,25.0,2.4,2,2,0,0,3,0,2,0,0,0
Singapore,2020-02-02,3.193,0.355,0.0,0.0,25.0,2.4,2,2,0,0,3,0,2,0,0,0
Singapore,2020-02-03,3.193,0.0,0.0,0.0,25.0,2.4,2,2,0,0,3,0,2,0,0,0
Singapore,2020-02-04,4.258,1.064,0.0,0.0,25.0,2.4,2,2,0,0,3,0,2,0,0,0
Singapore,2020-02-05,4.967,0.71,0.0,0.0,25.0,2.4,2,2,0,0,3,0,2,0,0,0
Singapore,2020-02-06,4.967,0.0,0.0,0.0,25.0,2.4,2,2,0,0,3,0,2,0,0,0
Singapore,2020-02-07,5.322,0.355,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-08,5.854,0.532,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-09,7.096,1.242,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-10,7.983,0.887,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-11,8.338,0.355,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-12,8.87,0.532,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-13,10.289,1.419,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-14,11.886,1.597,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-15,12.773,0.887,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-16,13.305,0.532,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-17,13.66,0.355,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-18,14.369,0.71,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-19,14.901,0.532,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-20,14.901,0.0,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-21,15.079,0.177,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-22,15.079,0.0,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-23,15.788,0.71,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-24,15.788,0.0,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-25,16.143,0.355,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-26,16.498,0.355,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-27,16.498,0.0,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-28,16.498,0.0,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-02-29,18.095,1.597,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-03-01,18.804,0.71,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-03-02,19.159,0.355,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-03-03,19.514,0.355,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-03-04,19.514,0.0,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-03-05,20.756,1.242,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-03-06,23.062,2.306,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-03-07,24.481,1.419,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-03-08,26.61,2.129,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-03-09,26.61,0.0,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-03-10,28.384,1.774,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-03-11,31.577,3.193,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-03-12,31.577,0.0,0.0,0.0,30.56,2.4,2,2,0,0,3,1,2,0,0,0
Singapore,2020-03-13,35.48,3.903,0.0,0.0,36.11,2.4,2,2,0,0,3,2,2,0,0,0
Singapore,2020-03-14,37.609,2.129,0.0,0.0,36.11,2.4,2,2,0,0,3,2,2,0,0,0
Singapore,2020-03-15,40.092,2.484,0.0,0.0,36.11,2.4,2,2,0,0,3,2,2,0,0,0
Singapore,2020-03-16,43.108,3.016,0.0,0.0,36.11,2.4,2,2,0,0,3,2,2,0,0,0
